Passage,Question,AnsText
"ভিন্নধর্মী বা বিরোধী মতাদর্শ বা রাজনৈতিক প্রাণীদের ধারক ব্যক্তি বা গোষ্ঠীর বিরুদ্ধে এটি একটি সাধারণ ঘটনা এবং যখন এটি ঘটে, তখন সাইবার জগতের নিয়ম ও নীতি লঙ্ঘন করা হয়।
মানুষ এখনো জানে না কিভাবে এর বিরুদ্ধে লড়তে হয়। সাইবার ক্রাইম একটি নতুন ধরনের অপরাধ এবং এটি সম্প্রতি অপরাধের মাধ্যাকর্ষণ মেলানোর জন্য উপযুক্ত শাস্তির বিষয়ে সিদ্ধান্ত নেওয়া শুরু হয়েছে।",সাইবার ক্রাইম কী?,একটি নতুন ধরনের অপরাধ যা সাইবার জগতে ঘটে
"ভিন্নধর্মী বা বিরোধী মতাদর্শ বা রাজনৈতিক প্রাণীদের ধারক ব্যক্তি বা গোষ্ঠীর বিরুদ্ধে এটি একটি সাধারণ ঘটনা এবং যখন এটি ঘটে, তখন সাইবার জগতের নিয়ম ও নীতি লঙ্ঘন করা হয়।
মানুষ এখনো জানে না কিভাবে এর বিরুদ্ধে লড়তে হয়। সাইবার ক্রাইম একটি নতুন ধরনের অপরাধ এবং এটি সম্প্রতি অপরাধের মাধ্যাকর্ষণ মেলানোর জন্য উপযুক্ত শাস্তির বিষয়ে সিদ্ধান্ত নেওয়া শুরু হয়েছে।",মানুষ কিভাবে সাইবার ক্রাইমের বিরুদ্ধে লড়তে পারে?,জ্ঞান অর্জন করতে হবে এবং উচ্চতর সাইবার সুরক্ষা প্রযুক্তি ব্যবহার করতে হবে।
"ভিন্নধর্মী বা বিরোধী মতাদর্শ বা রাজনৈতিক প্রাণীদের ধারক ব্যক্তি বা গোষ্ঠীর বিরুদ্ধে এটি একটি সাধারণ ঘটনা এবং যখন এটি ঘটে, তখন সাইবার জগতের নিয়ম ও নীতি লঙ্ঘন করা হয়।
মানুষ এখনো জানে না কিভাবে এর বিরুদ্ধে লড়তে হয়। সাইবার ক্রাইম একটি নতুন ধরনের অপরাধ এবং এটি সম্প্রতি অপরাধের মাধ্যাকর্ষণ মেলানোর জন্য উপযুক্ত শাস্তির বিষয়ে সিদ্ধান্ত নেওয়া শুরু হয়েছে।",সাইবার জগতে অপরাধের মাধ্যমিক মাধ্যম কী?,ইন্টারনেট এবং ডিজিটাল প্ল্যাটফর্ম হল সাইবার জগতে অপরাধের মাধ্যমিক মাধ্যম।
"ভিন্নধর্মী বা বিরোধী মতাদর্শ বা রাজনৈতিক প্রাণীদের ধারক ব্যক্তি বা গোষ্ঠীর বিরুদ্ধে এটি একটি সাধারণ ঘটনা এবং যখন এটি ঘটে, তখন সাইবার জগতের নিয়ম ও নীতি লঙ্ঘন করা হয়।
মানুষ এখনো জানে না কিভাবে এর বিরুদ্ধে লড়তে হয়। সাইবার ক্রাইম একটি নতুন ধরনের অপরাধ এবং এটি সম্প্রতি অপরাধের মাধ্যাকর্ষণ মেলানোর জন্য উপযুক্ত শাস্তির বিষয়ে সিদ্ধান্ত নেওয়া শুরু হয়েছে।",সাইবার ক্রাইম নিয়ন্ত্রণের জন্য কী করা হয়েছে?,উপযুক্ত শাস্তির বিষয়ে সিদ্ধান্ত নেওয়া হয়েছে
"গবেষণা কাজ চালাতে, তথ্য নিয়ে কাজ করা অপরিহার্য। তথ্য সংগ্রহ, প্রক্রিয়াকরণ, বিশ্লেষণ এবং শেষ পর্যন্ত সুশৃঙ্খলভাবে উপস্থাপন করা উচিত। গবেষকদের আগে এই সমস্ত কাজ ম্যানুয়ালি করতে হত, কিন্তু এখন তারা কম্পিউটারের মাধ্যমে সবকিছু প্রক্রিয়া করতে পারে।",কেন গবেষকদের জন্য তথ্য গুরুত্বপূর্ণ?,গবেষণা কাজে তথ্য ব্যবহার করে নতুন জ্ঞান উদ্ভাবন করতে চায়
"গবেষণা কাজ চালাতে, তথ্য নিয়ে কাজ করা অপরিহার্য। তথ্য সংগ্রহ, প্রক্রিয়াকরণ, বিশ্লেষণ এবং শেষ পর্যন্ত সুশৃঙ্খলভাবে উপস্থাপন করা উচিত। গবেষকদের আগে এই সমস্ত কাজ ম্যানুয়ালি করতে হত, কিন্তু এখন তারা কম্পিউটারের মাধ্যমে সবকিছু প্রক্রিয়া করতে পারে।",গবেষকদের জন্য কেন তথ্য সংগ্রহ প্রক্রিয়াটি গুরুত্বপূর্ণ?,এটি নতুন তথ্য উদ্ভাবনে ও পূর্বে অনুমানিত ধারণা প্রমাণ করতে সাহায্য করে।
"গবেষণা কাজ চালাতে, তথ্য নিয়ে কাজ করা অপরিহার্য। তথ্য সংগ্রহ, প্রক্রিয়াকরণ, বিশ্লেষণ এবং শেষ পর্যন্ত সুশৃঙ্খলভাবে উপস্থাপন করা উচিত। গবেষকদের আগে এই সমস্ত কাজ ম্যানুয়ালি করতে হত, কিন্তু এখন তারা কম্পিউটারের মাধ্যমে সবকিছু প্রক্রিয়া করতে পারে।",কেন গবেষকদের জন্য তথ্য বিশ্লেষণ প্রক্রিয়াটি গুরুত্বপূর্ণ?,এটি প্রাপ্ত তথ্য থেকে নতুন বোধগম্য পাতা খুঁজে বের করে যা গবেষণার পরবর্তী ধাপে নির্ধারণ করতে সাহায্য করে।
"গবেষণা কাজ চালাতে, তথ্য নিয়ে কাজ করা অপরিহার্য। তথ্য সংগ্রহ, প্রক্রিয়াকরণ, বিশ্লেষণ এবং শেষ পর্যন্ত সুশৃঙ্খলভাবে উপস্থাপন করা উচিত। গবেষকদের আগে এই সমস্ত কাজ ম্যানুয়ালি করতে হত, কিন্তু এখন তারা কম্পিউটারের মাধ্যমে সবকিছু প্রক্রিয়া করতে পারে।",কেন গবেষকদের জন্য তথ্য সুশৃঙ্খলভাবে উপস্থাপন করা গুরুত্বপূর্ণ?,টি অন্যান্য গবেষণা কর্মকাণ্ডের জন্য উদ্ভাবন করা নতুন ধারণা ও মতামতের প্রমাণ দেয়।
যে ক্লায়েন্ট সার্ভার থেকে সম্পদ ব্যবহার করে তাকে ব্যবহারকারী বলা হয়।,ক্লায়েন্ট সার্ভার থেকে সম্পদ ব্যবহার করে কে ব্যবহারকারী বলা হয়?,ক্লায়েন্ট সার্ভার থেকে সম্পদ ব্যবহার করে ব্যবহারকারী হয়।
যে ক্লায়েন্ট সার্ভার থেকে সম্পদ ব্যবহার করে তাকে ব্যবহারকারী বলা হয়।,ক্লায়েন্ট সার্ভার কী অর্থে?,সার্ভার যা সম্পদ সরবরাহ করে ব্যবহারকারীদের জন্য।
যে ক্লায়েন্ট সার্ভার থেকে সম্পদ ব্যবহার করে তাকে ব্যবহারকারী বলা হয়।,ব্যবহারকারী কী অর্থে?,সম্পদ ব্যবহার করা ক্লায়েন্ট সার্ভারের ব্যবহারকারী ব্যক্তি।
যে ক্লায়েন্ট সার্ভার থেকে সম্পদ ব্যবহার করে তাকে ব্যবহারকারী বলা হয়।,সম্পদ ব্যবহারের জন্য কি প্রয়োজনীয়?,সম্পদ ব্যবহারের জন্য প্রয়োজনীয় ক্লায়েন্ট সার্ভার এবং ব্যবহারকারীর উপস্থিতি।
যারা নেটওয়ার্ক তৈরি করে তারা এই নিয়মগুলি নির্ধারণ করে কোন ভাষায় এবং কোন নিয়ম ও প্রবিধান অনুসরণ করে তারা কম্পিউটারের আন্তঃযোগাযোগ নিশ্চিত করবে। এগুলোকে বলা হয় প্রোটোকল।,কেমন ভাবে প্রোটোকল নির্ধারণ করা হয়?,প্রোটোকল নির্ধারণ হয় ভাষায় এবং নিয়ম ও প্রবিধান অনুসরণ করে
যারা নেটওয়ার্ক তৈরি করে তারা এই নিয়মগুলি নির্ধারণ করে কোন ভাষায় এবং কোন নিয়ম ও প্রবিধান অনুসরণ করে তারা কম্পিউটারের আন্তঃযোগাযোগ নিশ্চিত করবে। এগুলোকে বলা হয় প্রোটোকল।,প্রোটোকল কি অর্থে?,নেটওয়ার্ক আন্তঃযোগাযোগের নির্দেশিকা বা নিয়মগুলি
যারা নেটওয়ার্ক তৈরি করে তারা এই নিয়মগুলি নির্ধারণ করে কোন ভাষায় এবং কোন নিয়ম ও প্রবিধান অনুসরণ করে তারা কম্পিউটারের আন্তঃযোগাযোগ নিশ্চিত করবে। এগুলোকে বলা হয় প্রোটোকল।,কে প্রোটোকল নির্ধারণ করে?,নেটওয়ার্ক তৈরি করার কর্মকর্তারা প্রোটোকল নির্ধারণ করেন
"PAN হল একটি ব্যক্তিগত নেটওয়ার্ক, যেখানে ব্লুটুথ ব্যবহার করা হয়। স্কুল, কলেজ বা বিশ্ববিদ্যালয়ে সাধারণত ল্যান ব্যবহার করা হয়। আবার, একটি MAN হল একটি নেটওয়ার্ক যা একটি পুরো শহরকে সংযুক্ত করে।",PAN এর জন্য কোন প্রযুক্তি ব্যবহৃত হয়?,ব্লুটুথ
"PAN হল একটি ব্যক্তিগত নেটওয়ার্ক, যেখানে ব্লুটুথ ব্যবহার করা হয়। স্কুল, কলেজ বা বিশ্ববিদ্যালয়ে সাধারণত ল্যান ব্যবহার করা হয়। আবার, একটি MAN হল একটি নেটওয়ার্ক যা একটি পুরো শহরকে সংযুক্ত করে।","স্কুল, কলেজ, বা বিশ্ববিদ্যালয়ে কোন ধরণের নেটওয়ার্ক ব্যবহার করা হয়?",ল্যান
"PAN হল একটি ব্যক্তিগত নেটওয়ার্ক, যেখানে ব্লুটুথ ব্যবহার করা হয়। স্কুল, কলেজ বা বিশ্ববিদ্যালয়ে সাধারণত ল্যান ব্যবহার করা হয়। আবার, একটি MAN হল একটি নেটওয়ার্ক যা একটি পুরো শহরকে সংযুক্ত করে।",MAN এর জন্য যে একটি নেটওয়ার্ক ব্যবহৃত হয় তা কী?,শহর নেটওয়ার্ক
"PAN হল একটি ব্যক্তিগত নেটওয়ার্ক, যেখানে ব্লুটুথ ব্যবহার করা হয়। স্কুল, কলেজ বা বিশ্ববিদ্যালয়ে সাধারণত ল্যান ব্যবহার করা হয়। আবার, একটি MAN হল একটি নেটওয়ার্ক যা একটি পুরো শহরকে সংযুক্ত করে।",PAN এর পূর্ণরূপ কি?,ব্যক্তিগত
WAN ব্যবহার করা হয় সমগ্র দেশ বা বিশ্বের সাথে সংযোগ স্থাপনের জন্য। এই নেটওয়ার্কের অধীনে থাকা কম্পিউটারগুলি বিভিন্ন সিস্টেম দ্বারা সংযুক্ত থাকে। এই বিভিন্ন সিস্টেমকে টপোলজি বলা হয়।,WAN ব্যবহার করা হয় কোন স্তরের যোগাযোগের জন্য?,সমগ্র দেশ বা বিশ্বের সাথে সংযোগ স্থাপনের জন্য।
WAN ব্যবহার করা হয় সমগ্র দেশ বা বিশ্বের সাথে সংযোগ স্থাপনের জন্য। এই নেটওয়ার্কের অধীনে থাকা কম্পিউটারগুলি বিভিন্ন সিস্টেম দ্বারা সংযুক্ত থাকে। এই বিভিন্ন সিস্টেমকে টপোলজি বলা হয়।,WAN এর আধীনে থাকা কোন ধরণের কম্পিউটারগুলি সংযুক্ত থাকে?,বিভিন্ন সিস্টেমগুলি।
WAN ব্যবহার করা হয় সমগ্র দেশ বা বিশ্বের সাথে সংযোগ স্থাপনের জন্য। এই নেটওয়ার্কের অধীনে থাকা কম্পিউটারগুলি বিভিন্ন সিস্টেম দ্বারা সংযুক্ত থাকে। এই বিভিন্ন সিস্টেমকে টপোলজি বলা হয়।,কী বোঝায় টপোলজি পদক্ষেপে?,টপোলজি বোঝায় বিভিন্ন সিস্টেমগুলির মধ্যে কেমন সংযোগ স্থাপন হয়ে থাকে।
WAN ব্যবহার করা হয় সমগ্র দেশ বা বিশ্বের সাথে সংযোগ স্থাপনের জন্য। এই নেটওয়ার্কের অধীনে থাকা কম্পিউটারগুলি বিভিন্ন সিস্টেম দ্বারা সংযুক্ত থাকে। এই বিভিন্ন সিস্টেমকে টপোলজি বলা হয়।,WAN এর মাধ্যমে কি সম্পন্ন করা হয়?,বিভিন্ন কম্পিউটারগুলির সংযোগ স্থাপন।
WAN ব্যবহার করা হয় সমগ্র দেশ বা বিশ্বের সাথে সংযোগ স্থাপনের জন্য। এই নেটওয়ার্কের অধীনে থাকা কম্পিউটারগুলি বিভিন্ন সিস্টেম দ্বারা সংযুক্ত থাকে। এই বিভিন্ন সিস্টেমকে টপোলজি বলা হয়।,কোন উদ্দেশ্যে ব্যবহার করা হয় WAN?,সমগ্র দেশ বা বিশ্বের সাথে সংযোগ স্থাপনের জন্য।
"বাস টপোলজি: সমস্ত কম্পিউটার এই টপোলজিতে একটি প্রধান মেরুদণ্ড বা একটি প্রধান লাইনের সাথে সংযুক্ত থাকে। বাস টপোলজি সিস্টেমে একটি কম্পিউটার অন্য কম্পিউটারের সাথে যোগাযোগ করতে চাইলে, তথ্যটি তার সাথে সংযুক্ত সমস্ত কম্পিউটারের সাথে ভাগ করা হয়",বাস টপোলজিতে কম্পিউটারগুলি কেমন সংযুক্ত থাকে?,প্রধান লাইনের সাথে সংযুক্ত থাকে
"বাস টপোলজি: সমস্ত কম্পিউটার এই টপোলজিতে একটি প্রধান মেরুদণ্ড বা একটি প্রধান লাইনের সাথে সংযুক্ত থাকে। বাস টপোলজি সিস্টেমে একটি কম্পিউটার অন্য কম্পিউটারের সাথে যোগাযোগ করতে চাইলে, তথ্যটি তার সাথে সংযুক্ত সমস্ত কম্পিউটারের সাথে ভাগ করা হয়",বাস টপোলজিতে কী সাধারণত ভাগ করা হয়?,তথ্য সংযুক্ত সমস্ত কম্পিউটারের সাথে।
"বাস টপোলজি: সমস্ত কম্পিউটার এই টপোলজিতে একটি প্রধান মেরুদণ্ড বা একটি প্রধান লাইনের সাথে সংযুক্ত থাকে। বাস টপোলজি সিস্টেমে একটি কম্পিউটার অন্য কম্পিউটারের সাথে যোগাযোগ করতে চাইলে, তথ্যটি তার সাথে সংযুক্ত সমস্ত কম্পিউটারের সাথে ভাগ করা হয়",বাস টপোলজির কী প্রয়োজন?,একটি প্রধান মেরুদণ্ড প্রয়োজন
"বাস টপোলজি: সমস্ত কম্পিউটার এই টপোলজিতে একটি প্রধান মেরুদণ্ড বা একটি প্রধান লাইনের সাথে সংযুক্ত থাকে। বাস টপোলজি সিস্টেমে একটি কম্পিউটার অন্য কম্পিউটারের সাথে যোগাযোগ করতে চাইলে, তথ্যটি তার সাথে সংযুক্ত সমস্ত কম্পিউটারের সাথে ভাগ করা হয়",বাস টপোলজির কেন্দ্রীয় অংশ কি বলা হয়?,প্রধান মেরুদণ্ড।
"বাস টপোলজি: সমস্ত কম্পিউটার এই টপোলজিতে একটি প্রধান মেরুদণ্ড বা একটি প্রধান লাইনের সাথে সংযুক্ত থাকে। বাস টপোলজি সিস্টেমে একটি কম্পিউটার অন্য কম্পিউটারের সাথে যোগাযোগ করতে চাইলে, তথ্যটি তার সাথে সংযুক্ত সমস্ত কম্পিউটারের সাথে ভাগ করা হয়",বাস টপোলজিতে তথ্য কিভাবে ভাগ করা হয়?,তথ্যটি সংযুক্ত সকল কম্পিউটারের সাথে ভাগ করা হয়।
"রিং টপোলজি আকারে বৃত্তাকার। প্রতিটি কম্পিউটার আরও দুটি কম্পিউটারের সাথে সংযুক্ত রয়েছে। এই টপোলজিতে, তথ্য বা ডেটা একটি নির্দিষ্ট দিক অনুসরণ করে এক কম্পিউটার থেকে অন্য কম্পিউটারে চলে যায়, তবে মনে রাখবেন যে রিং টপোলজিতে, কম্পিউটারগুলিকে বৃত্তাকার উপায়ে সংযুক্ত করার প্রয়োজন নেই।",রিং টপোলজিতে কম্পিউটারগুলি কেমন সংযুক্ত থাকে?,দুটি কম্পিউটারের সাথে সংযুক্ত হয়ে বৃত্তাকার আকারে থাকে।
"রিং টপোলজি আকারে বৃত্তাকার। প্রতিটি কম্পিউটার আরও দুটি কম্পিউটারের সাথে সংযুক্ত রয়েছে। এই টপোলজিতে, তথ্য বা ডেটা একটি নির্দিষ্ট দিক অনুসরণ করে এক কম্পিউটার থেকে অন্য কম্পিউটারে চলে যায়, তবে মনে রাখবেন যে রিং টপোলজিতে, কম্পিউটারগুলিকে বৃত্তাকার উপায়ে সংযুক্ত করার প্রয়োজন নেই।",রিং টপোলজিতে কম্পিউটারগুলি কতটি কম্পিউটারের সাথে সংযুক্ত থাকে?,প্রতিটি কম্পিউটার আরও দুটি কম্পিউটারের সাথে সংযুক্ত থাকে
"রিং টপোলজি আকারে বৃত্তাকার। প্রতিটি কম্পিউটার আরও দুটি কম্পিউটারের সাথে সংযুক্ত রয়েছে। এই টপোলজিতে, তথ্য বা ডেটা একটি নির্দিষ্ট দিক অনুসরণ করে এক কম্পিউটার থেকে অন্য কম্পিউটারে চলে যায়, তবে মনে রাখবেন যে রিং টপোলজিতে, কম্পিউটারগুলিকে বৃত্তাকার উপায়ে সংযুক্ত করার প্রয়োজন নেই।",রিং টপোলজিতে কিভাবে তথ্য চলে?,তথ্য এক কম্পিউটার থেকে অন্য কম্পিউটারে রিং একটি নির্দিষ্ট দিক অনুসরণ করে চলে।
"রিং টপোলজি আকারে বৃত্তাকার। প্রতিটি কম্পিউটার আরও দুটি কম্পিউটারের সাথে সংযুক্ত রয়েছে। এই টপোলজিতে, তথ্য বা ডেটা একটি নির্দিষ্ট দিক অনুসরণ করে এক কম্পিউটার থেকে অন্য কম্পিউটারে চলে যায়, তবে মনে রাখবেন যে রিং টপোলজিতে, কম্পিউটারগুলিকে বৃত্তাকার উপায়ে সংযুক্ত করার প্রয়োজন নেই।",রিং টপোলজির উদাহরণ কী রয়েছে?,দুটি কম্পিউটারের সাথে বৃত্তাকার আকারে সংযুক্ত থাকে
বাংলা প্রায় 200 বছর ব্রিটিশ উপনিবেশের অধীনে ছিল। পলাশীর যুদ্ধে নবাব সিরাজ-উদ-দৌলার পতনের মধ্য দিয়ে ঔপনিবেশিকতার সূচনা হয় যা 1947 সালে বিভিন্ন আন্দোলনের মাধ্যমে শেষ হয়।,বাংলা কখন ব্রিটিশ উপনিবেশের অধীনে ছিল?,২০০ বছর
বাংলা প্রায় 200 বছর ব্রিটিশ উপনিবেশের অধীনে ছিল। পলাশীর যুদ্ধে নবাব সিরাজ-উদ-দৌলার পতনের মধ্য দিয়ে ঔপনিবেশিকতার সূচনা হয় যা 1947 সালে বিভিন্ন আন্দোলনের মাধ্যমে শেষ হয়।,পলাশীর যুদ্ধের নামকরণ কি?,নবাব সিরাজ-উদ-দৌলার পতন
বাংলা প্রায় 200 বছর ব্রিটিশ উপনিবেশের অধীনে ছিল। পলাশীর যুদ্ধে নবাব সিরাজ-উদ-দৌলার পতনের মধ্য দিয়ে ঔপনিবেশিকতার সূচনা হয় যা 1947 সালে বিভিন্ন আন্দোলনের মাধ্যমে শেষ হয়।,ঔপনিবেশিকতার সূচনা কখন হয়?,১৯৪৭ সালে।
বাংলা প্রায় 200 বছর ব্রিটিশ উপনিবেশের অধীনে ছিল। পলাশীর যুদ্ধে নবাব সিরাজ-উদ-দৌলার পতনের মধ্য দিয়ে ঔপনিবেশিকতার সূচনা হয় যা 1947 সালে বিভিন্ন আন্দোলনের মাধ্যমে শেষ হয়।,ঔপনিবেশিকতার সূচনা কার মাধ্যমে হয়?,বিভিন্ন আন্দোলনের মাধ্যমে
মৌর্য শাসনের পর গুপ্ত রাজবংশ ভারতের শাসনভার গ্রহণ করে। পরবর্তী চার শতাব্দীতে উত্তরবঙ্গ এবং দক্ষিণ-পূর্ব বাংলার কিছু অংশ গুপ্ত বংশের শাসনাধীনে আসে। ৭ম শতাব্দীতে গুপ্তদের পতনের পর তৎকালীন বাংলায় প্রথম স্বাধীন রাষ্ট্র প্রতিষ্ঠিত হয়।,গুপ্ত রাজবংশ ভারতের শাসনভার গ্রহণ করে কখন?,মৌর্য শাসনের পরে
মৌর্য শাসনের পর গুপ্ত রাজবংশ ভারতের শাসনভার গ্রহণ করে। পরবর্তী চার শতাব্দীতে উত্তরবঙ্গ এবং দক্ষিণ-পূর্ব বাংলার কিছু অংশ গুপ্ত বংশের শাসনাধীনে আসে। ৭ম শতাব্দীতে গুপ্তদের পতনের পর তৎকালীন বাংলায় প্রথম স্বাধীন রাষ্ট্র প্রতিষ্ঠিত হয়।,চার শতাব্দীতে কোন অংশ গুপ্ত বংশের শাসনাধীনে আসে?,উত্তরবঙ্গ এবং দক্ষিণ-পূর্ব বাংলা।
মৌর্য শাসনের পর গুপ্ত রাজবংশ ভারতের শাসনভার গ্রহণ করে। পরবর্তী চার শতাব্দীতে উত্তরবঙ্গ এবং দক্ষিণ-পূর্ব বাংলার কিছু অংশ গুপ্ত বংশের শাসনাধীনে আসে। ৭ম শতাব্দীতে গুপ্তদের পতনের পর তৎকালীন বাংলায় প্রথম স্বাধীন রাষ্ট্র প্রতিষ্ঠিত হয়।,কোন শতাব্দীতে প্রথম স্বাধীন রাষ্ট্র প্রতিষ্ঠিত হয় বাংলায়?,৭ম শতাব্দী।
মৌর্য শাসনের পর গুপ্ত রাজবংশ ভারতের শাসনভার গ্রহণ করে। পরবর্তী চার শতাব্দীতে উত্তরবঙ্গ এবং দক্ষিণ-পূর্ব বাংলার কিছু অংশ গুপ্ত বংশের শাসনাধীনে আসে। ৭ম শতাব্দীতে গুপ্তদের পতনের পর তৎকালীন বাংলায় প্রথম স্বাধীন রাষ্ট্র প্রতিষ্ঠিত হয়।,গুপ্তদের পতনের পর কি ঘটে?,তৎকালীন বাংলায় প্রথম স্বাধীন রাষ্ট্র প্রতিষ্ঠিত হয়।
"পালদের পতনের পর একাদশ শতাব্দীর শেষভাগে বাংলা আবার বিদেশিদের অধীনে চলে যায়। দক্ষিণ ভারতের কর্ণাটক থেকে এসে সেন রাজবংশের রাজারা বাংলার সিংহাসন দখল করেছিলেন।
বহিরাগত মুসলিম শক্তির হাতে সেনের শাসনের অবসান ঘটে। ",পালদের পতনের পর কখন বাংলা বিদেশিদের অধীনে চলে যায়?,একাদশ শতাব্দীর শেষভাগে
"পালদের পতনের পর একাদশ শতাব্দীর শেষভাগে বাংলা আবার বিদেশিদের অধীনে চলে যায়। দক্ষিণ ভারতের কর্ণাটক থেকে এসে সেন রাজবংশের রাজারা বাংলার সিংহাসন দখল করেছিলেন।
বহিরাগত মুসলিম শক্তির হাতে সেনের শাসনের অবসান ঘটে। ",কর্ণাটক থেকে কে আসে এবং বাংলার সিংহাসন দখল করে?,সেন রাজবংশের রাজারা।
"পালদের পতনের পর একাদশ শতাব্দীর শেষভাগে বাংলা আবার বিদেশিদের অধীনে চলে যায়। দক্ষিণ ভারতের কর্ণাটক থেকে এসে সেন রাজবংশের রাজারা বাংলার সিংহাসন দখল করেছিলেন।
বহিরাগত মুসলিম শক্তির হাতে সেনের শাসনের অবসান ঘটে। ",বাংলার শাসনের শেষ করে কোন শক্তির হাতে সেনের শাসন অবসান ঘটে?,বহিরাগত মুসলিম শক্তির।
"পালদের পতনের পর একাদশ শতাব্দীর শেষভাগে বাংলা আবার বিদেশিদের অধীনে চলে যায়। দক্ষিণ ভারতের কর্ণাটক থেকে এসে সেন রাজবংশের রাজারা বাংলার সিংহাসন দখল করেছিলেন।
বহিরাগত মুসলিম শক্তির হাতে সেনের শাসনের অবসান ঘটে। ",কেমন ঘটনা সেনের শাসনের অবসানের কারণে ঘটে?,বহিরাগত মুসলিম শক্তির হাতে সেনের শাসনের অবসান ঘটে।
"১৬১০ সালে সম্রাট জাহাঙ্গীরের শাসনামলে মুঘল সুবেদার ইসলাম খান বারো ভূঁইয়াদের পরাজিত করে ঢাকা দখল করেন।
এভাবে মুঘলরা বাংলা দখল করে নেয়। এই মুঘল শাসন ১৯ শতকের মাঝামাঝি পর্যন্ত অব্যাহত ছিল।",কখন সম্রাট জাহাঙ্গীর শাসনামলে মুঘলরা ঢাকা দখল করেন?,১৬১০ সালে।
"১৬১০ সালে সম্রাট জাহাঙ্গীরের শাসনামলে মুঘল সুবেদার ইসলাম খান বারো ভূঁইয়াদের পরাজিত করে ঢাকা দখল করেন।
এভাবে মুঘলরা বাংলা দখল করে নেয়। এই মুঘল শাসন ১৯ শতকের মাঝামাঝি পর্যন্ত অব্যাহত ছিল।",কে মুঘল সুবেদার ঢাকা দখল করেন?,ইসলাম খান বারো ভূঁইয়া।
"১৬১০ সালে সম্রাট জাহাঙ্গীরের শাসনামলে মুঘল সুবেদার ইসলাম খান বারো ভূঁইয়াদের পরাজিত করে ঢাকা দখল করেন।
এভাবে মুঘলরা বাংলা দখল করে নেয়। এই মুঘল শাসন ১৯ শতকের মাঝামাঝি পর্যন্ত অব্যাহত ছিল।",মুঘল শাসন বাংলায় অব্যাহত ছিল কত শতাব্দী পর্যন্ত?,১৯ শতক।
"১৬১০ সালে সম্রাট জাহাঙ্গীরের শাসনামলে মুঘল সুবেদার ইসলাম খান বারো ভূঁইয়াদের পরাজিত করে ঢাকা দখল করেন।
এভাবে মুঘলরা বাংলা দখল করে নেয়। এই মুঘল শাসন ১৯ শতকের মাঝামাঝি পর্যন্ত অব্যাহত ছিল।",কি কারণে মুঘলরা ঢাকা দখল করেন?,বারো ভূঁইয়াদের পরাজয়
"১৬১০ সালে সম্রাট জাহাঙ্গীরের শাসনামলে মুঘল সুবেদার ইসলাম খান বারো ভূঁইয়াদের পরাজিত করে ঢাকা দখল করেন।
এভাবে মুঘলরা বাংলা দখল করে নেয়। এই মুঘল শাসন ১৯ শতকের মাঝামাঝি পর্যন্ত অব্যাহত ছিল।",মুঘলরা কি দখল করেন ?,বাংলা
"ইউরোপীয় দেশের অর্থনৈতিক অবস্থা খনিজ সম্পদ আবিষ্কার, সমুদ্র-বাণিজ্যের প্রসার এবং প্রযুক্তিগত ও বাণিজ্যিক ক্ষেত্রে উন্নয়নের জন্য বিকাশ লাভ করেছিল। এর ফলস্বরূপ 14 শতক থেকে একটি শক্তিশালী বাণিজ্য বিপ্লব শুরু হয়।",কোন শতক থেকে ইউরোপীয় দেশে একটি বাণিজ্য বিপ্লব শুরু হয়?,১৪ শতক।
"ইউরোপীয় দেশের অর্থনৈতিক অবস্থা খনিজ সম্পদ আবিষ্কার, সমুদ্র-বাণিজ্যের প্রসার এবং প্রযুক্তিগত ও বাণিজ্যিক ক্ষেত্রে উন্নয়নের জন্য বিকাশ লাভ করেছিল। এর ফলস্বরূপ 14 শতক থেকে একটি শক্তিশালী বাণিজ্য বিপ্লব শুরু হয়।",যে কোন কারণে ইউরোপীয় দেশের অর্থনৈতিক অবস্থা কি লাভ করেছিল?,"খনিজ সম্পদ আবিষ্কার, সমুদ্র-বাণিজ্যের প্রসার"
"ইউরোপীয় দেশের অর্থনৈতিক অবস্থা খনিজ সম্পদ আবিষ্কার, সমুদ্র-বাণিজ্যের প্রসার এবং প্রযুক্তিগত ও বাণিজ্যিক ক্ষেত্রে উন্নয়নের জন্য বিকাশ লাভ করেছিল। এর ফলস্বরূপ 14 শতক থেকে একটি শক্তিশালী বাণিজ্য বিপ্লব শুরু হয়।",বাণিজ্য বিপ্লবের ফলে ইউরোপীয় দেশের কি ঘটেছিল?,বিকাশ লাভ।
"ইউরোপীয় দেশের অর্থনৈতিক অবস্থা খনিজ সম্পদ আবিষ্কার, সমুদ্র-বাণিজ্যের প্রসার এবং প্রযুক্তিগত ও বাণিজ্যিক ক্ষেত্রে উন্নয়নের জন্য বিকাশ লাভ করেছিল। এর ফলস্বরূপ 14 শতক থেকে একটি শক্তিশালী বাণিজ্য বিপ্লব শুরু হয়।",কি কারণে বাণিজ্য বিপ্লব শুরু হয়েছিল?,সমুদ্র-বাণিজ্যের প্রসার এবং প্রযুক্তিগত ও বাণিজ্যিক ক্ষেত্রে উন্নয়ন।
